代码	名称(800)	涨幅%	现价	涨跌	买价	卖价	总量	现量	涨速%	换手%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	溢价%	买量	卖量	未匹配量	委比%	量涨速%	短换手%	2分钟金额	主力净额	主力净比%	昨成交额	开盘金额	开盘抢筹%	开盘昨比%	开盘昨封比%	开盘换手Z	竞价涨停买	竞价量比	封成比	封单额	流通股(亿)	流通市值	AB股总市值	强弱度%	活跃度	连涨天	昨涨幅%	3日涨幅%	5日涨幅%	10日涨幅%	20日涨幅%	60日涨幅%	一年涨幅%	月初至今%	年初至今%	年涨停天	流通股本Z	换手Z	流通市值Z	市值增减	市盈(TTM)	市盈(静)	贝塔系数	距5日线%	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	回头波%	攻击波%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收账款(亿)	合同负债(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
002625	光启技术	1.14	41.67	0.47	41.66	41.67	399143	2907	-0.09	          2.25	41.10	42.65	41.10	41.20	   125.38	167467.76	  0.94	航空装备	深圳	3.76	41.96	185141	214002	  0.87	0.00	124	326	--  	-66.48	          0.99	          0.06	1211.34	0.00	   0.00	201215.96	1275.33	0.17	0.63	--  	          0.02	--  	1.43	--  	--  	         17.77	        740.57亿	        897.82亿	  2.44	   4532	1	-3.58	0.58	0.43	2.51	10.06	122.83	194.69	3.84	186.39	10	   13.34亿	          2.99	        555.97亿	         10.13亿	131.90	152.18	0.84	-0.10	KDJ死叉	10	10	8	-0.24	3.52	-0.24	1.84	-2.30	1.39	20241031	20111103	         21.55	--  	--  	101.83	87.91	--  	13.68	78.68	8.15	3.03	12.04	53.99	2.16	18.08	0.02	50.51	12.69	5.89	6.23	0.00	6.22	5.37	5.37	5.31	15.24	0.99	-3.80	88149.00	         15136	63.07万	20.05	3.67	         10.21	910.83	70.74	0.56	0.250㈢	          4.08	          2.34	          0.71	          0.05	         86.32	   6.11㈢	         53.62	         49.10	         42.31	0.72	1289	002625	--  	--  	--  	
002653	海思科	-1.10	34.99	-0.39	34.99	35.00	34257	120	-0.02	          0.64	35.22	35.58	34.86	35.38	    76.97	12043.68	  0.59	化学制剂	西藏	2.04	35.16	18022	16235	  1.11	0.00	14	64	--  	10.18	          0.51	          0.02	41.99	0.00	   0.00	21173.36	39.80	0.00	0.19	--  	          0.00	--  	0.59	--  	--  	          5.33	        186.66亿	        391.86亿	  0.20	   3199	-1	0.57	0.41	-5.21	-9.54	8.60	5.58	55.17	-11.10	53.47	3	    2.43亿	          1.41	         85.14亿	         -4.37亿	83.21	134.26	0.73	-0.43	-- -- 	14	10	8	-0.45	0.57	-1.47	-0.62	-1.66	0.37	20241030	20120117	         11.20	--  	--  	69.10	41.92	         -0.11	39.49	28.82	9.47	12.60	14.49	8.07	2.86	9.05	0.23	9.36	27.51	7.55	5.03	1.25	4.81	4.52	3.82	2.15	17.90	1.96	-3.59	9993.00	         24349	85.20万	90.20	15.41	          9.30	200.01	14.24	0.97	0.340㈢	          3.76	          0.84	          1.60	          0.17	         60.67	   9.11㈢	         72.56	         18.29	         16.43	3.78	5448	002653	--  	--  	--  	
002670	国盛金控	-9.98	17.23	-1.91	--  	17.23	1055523	905	0.00	          6.50	17.95	18.15	17.23	19.14	   300.85	183043.48	  0.61	证券	江西	4.81	17.34	277978	777545	  0.36	0.00	0	265989	--  	0.00	          0.09	          0.04	155.93	0.00	   0.00	455322.57	5350.00	-0.27	1.17	125.13	          0.55	--  	0.35	0.25	45829.90	         16.23	        279.70亿	        333.42亿	 -8.68	   3801	-1	10.00	8.92	31.83	30.04	57.49	96.25	84.67	34.61	84.87	13	    5.39亿	         19.60	         92.80亿	        -36.96亿	6763.87	--  	1.14	2.62	多头排列	8	8	8	-6.22	-5.17	-9.98	-9.40	-5.07	0.00	20241211	20120416	         19.35	--  	--  	427.89	110.04	          0.02	74.28	321.19	3.21	0.57	290.17	137.29	0.00	3.61	0.12	88.60	0.02	0.00	1.13	3.16	1.13	0.83	0.83	0.77	-3.85	33.81	40.88	75993.00	          7088	12.21万	74.40	139.47	          3.03	9.86	20265.93	0.00	0.040㈢	          5.69	          4.58	         -0.20	          1.75	         25.72	   0.76㈢	--  	       6878.32	       5046.49	0.13	2355	002670	--  	--  	--  	
002673	西部证券	-1.89	8.84	-0.17	8.83	8.84	696208	6151	0.11	          1.69	8.94	8.95	8.78	9.01	    40.66	61624.38	  0.75	证券	陕西	1.89	8.85	377212	318996	  1.18	0.00	2491	2872	--  	-3.67	          0.86	          0.05	543.75	0.00	   0.00	80687.90	376.64	-0.10	0.47	--  	          0.02	--  	0.59	--  	--  	         41.09	        363.25亿	        395.11亿	 -0.59	   4256	-2	-2.49	-3.18	-2.97	-3.17	0.57	39.65	35.38	-2.10	40.99	7	   23.67亿	          2.94	        209.22亿	         -7.60亿	39.55	34.55	1.11	-2.54	-- -- 	1	10	8	-0.78	-0.67	-2.55	-1.78	-1.23	0.68	20241030	20120503	         44.70	--  	--  	964.69	282.62	          1.98	70.50	0.00	1.79	2.22	0.00	219.42	0.00	0.00	1.14	159.97	44.31	34.71	9.60	14.92	9.61	7.48	7.29	7.16	35.93	77.08	73.37	181299.00	         13054	11.54万	-16.82	-22.59	          1.40	5.13	8.92	1.33	0.160㈢	          6.32	          3.58	          0.80	          1.72	         29.30	   2.58㈢	         21.66	         21.66	         16.88	--  	3324	002673	--  	--  	--  	
002683	广东宏大	-0.99	27.97	-0.28	27.96	27.97	48490	280	0.07	          0.73	28.16	28.60	27.79	28.25	    24.53	13580.86	  0.62	民爆制品	广东	2.87	28.01	28181	20309	  1.39	0.00	60	148	--  	-61.53	          0.86	          0.02	78.32	0.00	   0.00	20892.56	23.94	0.50	0.11	--  	          0.00	--  	0.12	--  	--  	          6.60	        184.71亿	        212.57亿	  0.31	   2740	-2	-1.46	-0.24	-1.06	1.86	-3.19	40.41	43.58	0.68	44.77	1	    4.26亿	          1.14	        119.22亿	         -2.13亿	24.70	29.99	0.72	-1.27	-- -- 	10	8	2	-0.32	1.24	-1.63	-0.85	-2.20	0.65	20241204	20120612	          7.60	--  	--  	176.90	63.37	         13.40	56.60	99.30	22.64	5.44	62.63	18.39	4.76	32.24	1.76	32.61	92.72	72.91	10.24	0.49	10.15	8.74	6.50	6.10	22.99	1.92	-11.75	27336.00	         15593	43.61万	30.83	16.75	          3.35	110.60	2.29	2.67	0.860㈢	          8.34	          4.29	          3.02	          0.25	         35.82	  10.26㈢	         21.36	         11.04	          9.43	3.01	8913	002683	--  	--  	--  	
002690	美亚光电	-2.05	15.26	-0.32	15.26	15.27	85162	994	0.07	          1.97	15.60	15.68	15.12	15.58	    22.44	13077.07	  0.64	其他专用设备	安徽	3.59	15.36	48913	36249	  1.35	0.00	102	236	--  	-60.80	          1.80	          0.11	151.68	0.00	   0.00	13943.01	20.28	-0.05	0.15	--  	          0.00	--  	0.28	--  	--  	          4.33	         66.04亿	        134.63亿	 -0.76	   2820	-4	-1.33	-3.54	-1.74	2.14	0.27	21.01	-14.32	3.46	-19.43	1	    2.98亿	          2.85	         45.53亿	         -2.82亿	21.76	18.45	0.94	-2.80	-- -- 	14	2	11	0.13	0.64	-2.95	-1.41	-2.68	0.93	20241204	20120731	          8.82	--  	--  	31.58	25.65	--  	18.77	24.27	4.63	0.57	5.44	11.81	4.09	5.17	0.86	2.90	15.78	7.82	5.17	0.02	5.18	4.50	4.50	4.40	7.01	4.81	-2.34	31406.00	          9501	14.50万	-20.09	-4.78	          5.25	28.00	8.53	4.48	0.510㈢	          2.91	          0.33	          0.79	          0.55	         81.23	  17.54㈢	         50.45	         32.78	         28.52	0.95	1387	002690	--  	--  	--  	
002738	中矿资源	-3.82	37.78	-1.50	37.77	37.78	138849	1252	-0.02	          1.95	39.05	39.28	37.63	39.28	    37.46	52958.58	  0.95	锂	北京	4.20	38.14	84315	54534	  1.55	0.00	103	72	--  	-17.20	          0.74	          0.04	473.00	0.00	   0.00	57322.44	112.46	0.10	0.20	--  	          0.00	--  	0.66	--  	--  	          7.11	        268.70亿	        272.58亿	 -2.52	   4064	-2	-2.53	-2.80	-0.18	0.29	5.15	28.20	8.10	-0.29	4.05	3	    6.07亿	          2.29	        229.35亿	        -10.82亿	41.44	12.83	0.99	-2.73	-- -- 	10	8	9	-0.59	0.00	-4.20	-2.90	-3.82	0.40	20241029	20141230	          7.21	--  	--  	162.49	119.20	          3.06	24.76	74.91	30.00	23.83	26.26	25.58	21.75	4.98	0.35	56.40	35.69	23.04	5.98	0.34	6.38	5.43	5.46	4.15	59.37	-1.68	-18.74	73587.00	          8250	31.17万	-73.64	-28.69	          2.31	-161.97	7.64	2.55	0.760㈢	         16.33	          7.82	          8.23	         -0.23	         73.36	   4.58㈢	         35.46	         16.76	         15.23	1.01	2605	002738	--  	--  	--  	
002739	万达电影	-3.00	13.26	-0.41	13.26	13.27	451779	1438	0.00	          2.15	13.73	13.83	13.10	13.67	   128.48	60088.52	  0.90	发行院线	北京	5.34	13.30	260888	190891	  1.37	0.00	428	66	--  	-16.01	          0.49	          0.04	190.75	0.00	   0.00	80740.90	212.95	-0.14	0.26	--  	          0.01	--  	1.22	--  	--  	         21.05	        279.11亿	        288.98亿	 -1.70	   4352	-2	-0.22	-2.07	5.99	4.25	13.34	44.44	-3.21	8.07	1.84	1	   11.77亿	          3.84	        156.03亿	         -8.94亿	--  	32.66	0.83	-1.27	多头排列	8	2	1	0.44	1.17	-4.17	-2.71	-4.12	1.22	20241031	20150122	         21.79	--  	--  	249.88	81.54	          1.54	66.75	82.94	17.67	7.92	77.19	25.13	16.07	15.39	15.79	108.90	98.47	74.86	2.31	0.01	2.33	1.77	1.69	0.82	-53.61	8.83	-6.47	103185.00	         11404	15.12万	-84.87	-13.23	          3.54	32.72	2.93	0.00	0.080㈢	          3.74	          5.00	         -2.46	          0.41	         32.63	   2.07㈢	         23.98	          2.34	          1.80	0.27	10665	002739	--  	--  	--  	
002756	永兴材料	0.00	42.80	0.00	42.80	42.81	71535	399	0.07	          1.84	42.82	43.13	41.80	42.80	    17.82	30433.72	  0.75	锂	浙江	3.11	42.54	37218	34317	  1.08	0.00	342	31	--  	63.38	          0.67	          0.03	170.78	0.00	   0.00	44767.70	65.51	0.00	0.15	--  	          0.01	--  	0.16	--  	--  	          3.89	        166.36亿	        230.74亿	  1.30	   3726	0	-4.27	-0.23	2.39	-3.01	0.61	27.72	-2.28	-2.51	-13.90	3	    3.02亿	          2.37	        129.25亿	          0.00亿	17.41	6.77	1.08	-0.79	-- -- 	10	2	11	0.05	0.77	-2.34	-0.61	-0.77	2.39	20241031	20150515	          5.39	--  	--  	139.15	125.49	          1.83	8.51	101.23	26.67	3.02	10.51	70.52	6.13	2.04	0.47	25.84	62.31	50.87	11.86	0.24	11.74	9.92	9.71	7.74	93.24	3.87	-23.70	57728.00	          5231	22.39万	-68.19	-35.79	          1.84	59.59	3.70	5.75	1.810㈢	         23.28	          4.79	         17.30	          0.72	         90.18	   7.74㈢	         18.36	         19.04	         15.92	2.23	2337	002756	--  	--  	--  	
002797	第一创业	-2.01	9.28	-0.19	9.27	9.28	4025961	26434	0.11	          9.58	9.29	9.60	9.07	9.47	    45.62	374627.12	  1.28	证券	深圳	5.60	9.31	2090606	1935355	  1.08	0.00	15444	3291	--  	29.96	          0.97	          0.22	2453.07	0.00	   0.00	564239.46	3277.05	0.00	0.58	--  	          0.09	--  	1.97	--  	--  	         42.02	        389.98亿	        389.98亿	 -0.71	   4741	-1	3.50	4.74	6.06	3.69	11.81	77.44	53.39	4.04	60.83	7	   37.38亿	         10.77	        346.86亿	         -7.98亿	61.82	120.36	1.06	1.53	上穿BOLL上轨	10	12	8	-1.90	1.37	-4.22	-1.69	-3.33	2.32	20241211	20160511	         42.02	--  	--  	471.26	156.23	          4.98	65.79	0.00	1.77	9.18	0.00	110.88	0.00	0.00	0.09	60.66	24.01	16.17	7.84	9.10	7.83	6.93	6.41	6.33	27.75	17.16	20.83	352727.00	         10597	9.83万	95.45	25.54	          2.50	22.72	16.24	0.44	0.150㈢	          3.72	          1.44	          0.66	          0.41	         33.15	   4.10㈢	         32.64	         32.64	         28.85	--  	3224	002797	--  	--  	--  	
002821	凯莱英	-3.75	78.18	-3.05	78.18	78.19	91392	362	0.28	          2.78	80.65	80.95	76.80	81.23	    30.35	71859.01	  1.29	医疗研发外包	天津	5.11	78.63	49174	42218	  1.16	0.00	9	8	--  	14.85	          0.45	          0.04	282.85	0.00	   0.00	106188.95	150.01	-0.58	0.14	--  	          0.01	--  	1.35	--  	--  	          3.29	        256.94亿	        265.94亿	 -2.46	   3874	-5	-3.15	-7.77	-9.40	-5.24	-5.68	22.96	-33.36	-6.82	-31.60	1	    2.10亿	          4.35	        164.14亿	        -11.22亿	38.84	13.17	1.10	-5.43	KDJ死叉	10	12	9	-0.71	-0.34	-5.45	-3.20	-3.42	1.80	20241029	20161118	          3.68	--  	          0.28	186.98	166.13	          0.20	11.04	106.12	39.91	4.52	15.86	52.02	11.98	16.60	2.67	94.12	41.40	23.35	7.61	0.28	7.59	7.00	7.10	6.63	78.36	10.53	-19.41	53290.00	          3940	30.80万	-67.86	-35.14	          1.73	27.30	6.94	1.98	2.010㈢	         45.18	         25.60	         21.31	          2.86	         88.85	   4.28㈢	         43.60	         18.39	         16.91	4.84	9300	002821	--  	--  	--  	
002831	裕同科技	-3.94	24.85	-1.02	24.82	24.85	58556	1188	0.20	          1.12	25.84	25.97	24.76	25.87	    15.57	14751.35	  1.26	纸包装	深圳	4.68	25.19	28951	29605	  0.98	0.00	27	54	--  	72.36	          1.51	          0.05	295.22	0.00	   0.00	15348.93	32.04	-0.18	0.21	--  	          0.00	--  	1.44	--  	--  	          5.21	        129.47亿	        231.23亿	 -2.64	   3803	-2	-0.23	0.41	1.64	0.73	-3.27	15.47	-1.70	1.59	-6.44	1	    3.67亿	          1.60	         91.10亿	         -9.49亿	15.37	16.74	0.54	-1.47	-- -- 	10	2	11	-0.12	0.39	-4.29	-2.63	-4.31	0.36	20241029	20161216	          9.31	--  	--  	227.00	112.41	          4.51	48.50	129.37	67.51	6.68	96.44	35.34	18.97	57.85	0.85	19.28	122.59	91.71	13.73	-0.22	13.50	11.42	11.14	11.30	83.21	16.13	3.82	12876.00	         28471	70.75万	13.05	13.44	          2.06	14.34	1.89	3.61	1.220㈢	         12.08	          2.07	          8.94	          1.73	         49.52	   9.91㈢	         25.19	         11.20	          9.32	5.38	20966	002831	--  	--  	--  	
002841	视源股份	-2.21	38.50	-0.87	38.49	38.50	105835	691	0.23	          2.03	38.74	39.59	38.01	39.37	    21.60	40847.49	  0.86	品牌消费电子	广东	4.01	38.60	52264	53571	  0.98	0.00	58	10	--  	-4.43	          0.73	          0.05	266.04	0.00	   0.00	84450.89	222.37	0.60	0.26	--  	          0.02	--  	1.05	--  	--  	          5.21	        200.72亿	        267.97亿	 -0.91	   4020	-2	-3.55	-1.94	-3.79	-0.62	2.09	18.93	-12.56	0.26	-14.28	1	    3.24亿	          3.27	        124.71亿	         -6.06亿	22.11	20.00	0.90	-2.70	-- -- 	12	12	2	-1.60	0.56	-3.45	-1.96	-2.75	1.29	20241211	20170119	          6.96	--  	--  	231.14	126.17	          3.99	43.69	101.03	30.59	6.88	91.56	36.92	27.46	4.12	11.26	39.03	171.52	133.83	10.17	1.12	10.13	9.83	9.31	8.64	79.59	7.21	-10.05	30115.00	         10756	41.41万	-12.33	11.50	          2.12	37.16	1.56	2.16	1.340㈢	         18.13	          5.61	         11.44	          1.04	         54.59	   7.37㈢	         21.98	          5.93	          5.73	10.81	6780	002841	--  	--  	--  	
002850	科达利	-1.09	103.38	-1.14	103.37	103.38	27827	88	-0.11	          1.44	103.71	104.05	101.80	104.52	    20.66	28571.70	  0.67	锂电池	深圳	2.15	102.67	12708	15119	  0.84	0.00	3	3	--  	-42.86	          0.39	          0.01	90.97	0.00	   0.00	49309.16	53.93	0.78	0.11	--  	          0.00	--  	0.39	--  	--  	          1.93	        199.56亿	        279.97亿	  0.21	   3318	-5	-1.40	-3.38	-5.93	-1.56	-4.23	28.56	29.61	-3.22	24.62	5	    1.65亿	          1.69	        170.36亿	         -3.09亿	19.90	23.57	0.94	-2.36	KDJ死叉	10	8	12	-0.77	-0.45	-2.60	-1.77	-0.64	1.55	20241029	20170302	          2.71	--  	--  	180.23	111.84	          0.44	37.70	99.62	67.77	4.02	49.79	19.82	7.15	30.95	0.10	65.32	85.92	65.99	11.85	-0.43	11.75	10.14	10.16	9.85	40.21	17.88	-0.59	16791.00	          9814	101.46万	27.86	10.60	          2.55	15.66	3.26	1.43	3.760㈢	         40.53	         24.12	         14.85	          6.60	         62.05	   9.09㈢	         23.19	         13.79	         11.80	4.52	10438	002850	--  	--  	--  	
002867	周大生	0.56	14.30	0.08	14.30	14.31	156839	397	0.21	          1.45	14.17	14.42	14.10	14.22	    13.75	22392.88	  0.87	钟表珠宝	深圳	2.25	14.28	74288	82551	  0.90	0.00	153	43	--  	-46.01	          0.41	          0.04	56.77	0.00	   0.00	44060.54	57.25	0.21	0.13	--  	          0.01	--  	0.73	--  	--  	         10.80	        154.41亿	        156.72亿	  1.86	   4053	1	-1.32	2.14	5.30	8.83	16.54	41.72	-1.25	9.58	0.49	0	    3.91亿	          4.01	         55.87亿	          0.88亿	14.49	11.84	0.65	1.56	KDJ死叉	8	2	4	-0.35	1.41	-0.84	0.42	-0.83	1.42	20241031	20170427	         10.96	--  	--  	82.65	62.05	          0.02	24.91	66.16	0.30	3.85	19.85	15.52	42.15	3.37	0.22	13.27	108.09	85.84	11.02	-0.80	11.09	8.53	8.55	8.37	37.19	13.15	5.64	35772.00	         10923	15.62万	-21.95	-13.49	          2.53	11.92	1.45	6.62	0.790㈢	          5.66	          1.21	          3.39	          1.20	         75.07	  13.78㈢	         20.58	         10.20	          7.89	0.09	4044	002867	--  	--  	--  	
002926	华西证券	-1.70	8.66	-0.15	8.65	8.66	180211	2775	0.23	          0.69	8.78	8.86	8.62	8.81	    67.09	15682.94	  0.60	证券	四川	2.72	8.70	113281	66930	  1.69	0.00	2647	1335	--  	39.23	          1.35	          0.04	240.31	0.00	   0.00	30936.04	154.44	0.23	0.50	--  	          0.01	--  	0.83	--  	--  	         26.25	        227.32亿	        227.32亿	 -0.40	   3244	-2	-1.23	-1.37	-0.92	-2.14	3.09	34.26	7.98	-2.04	12.32	3	   14.00亿	          1.29	        121.25亿	         -3.94亿	75.60	54.42	1.00	-1.48	-- -- 	1	12	2	-0.34	0.57	-2.16	-1.25	-2.26	0.46	20241031	20180205	         26.25	--  	--  	944.34	229.76	          0.17	75.65	0.00	5.67	1.25	0.00	281.83	0.00	0.00	0.43	81.14	22.32	19.40	2.92	2.48	2.83	2.53	2.54	2.57	78.73	77.12	89.76	90852.00	         15411	13.35万	-31.90	-13.78	          0.99	2.95	10.19	0.57	0.100㈢	          8.75	          3.09	          3.00	          2.94	         24.33	   1.11㈢	         13.09	         13.09	         11.35	--  	4183	002926	--  	--  	--  	
002939	长城证券	-0.46	8.59	-0.04	8.58	8.59	227207	2657	0.35	          0.65	8.64	8.68	8.54	8.63	    23.67	19543.15	  0.60	证券	深圳	1.62	8.60	118865	108342	  1.10	0.00	473	1674	--  	-25.51	          1.21	          0.05	228.24	0.00	   0.00	31591.47	200.36	0.12	0.63	--  	          0.02	--  	1.25	--  	--  	         34.88	        299.59亿	        346.56亿	  0.84	   3393	-2	-2.49	-1.38	-0.58	-1.72	0.58	24.13	3.87	-1.61	9.01	2	   12.71亿	          1.79	        109.18亿	         -1.61亿	26.30	24.20	1.03	-1.26	-- -- 	1	12	2	0.12	0.58	-1.04	-0.35	-1.04	0.59	20241211	20181026	         40.34	--  	--  	1200.52	294.60	          4.90	75.05	0.00	1.24	1.17	0.00	244.86	0.00	0.00	--  	158.42	28.50	16.03	12.47	22.72	12.49	11.09	10.98	10.92	54.11	140.87	53.95	82036.00	         15493	13.31万	-9.46	-9.45	          1.18	2.46	12.16	1.77	0.270㈢	          7.30	          3.93	          1.34	          3.49	         24.54	   3.73㈢	         43.77	         43.77	         38.91	--  	3170	002939	--  	--  	--  	
002945	华林证券	-2.34	15.03	-0.36	15.03	15.04	179396	2944	0.07	          0.66	15.27	15.35	14.92	15.39	   100.74	27059.23	  0.43	证券	西藏	2.79	15.08	98228	81168	  1.21	0.00	2323	197	--  	65.59	          1.29	          0.18	442.48	0.00	   0.00	42160.26	85.82	0.00	0.20	--  	          0.02	--  	0.30	--  	--  	         27.00	        405.81亿	        405.81亿	 -1.04	   3758	-2	-1.91	-2.72	-4.09	0.41	4.89	56.24	8.05	0.81	-0.46	7	    2.70亿	          6.64	         40.58亿	         -9.72亿	282.87	1311.39	1.14	-2.78	MACD死叉	12	12	2	-0.78	-0.26	-3.05	-2.01	-2.08	0.74	20241031	20190117	         27.00	--  	--  	257.82	66.19	--  	74.33	0.00	0.58	1.93	0.00	121.45	0.00	0.00	0.02	6.77	10.16	5.61	4.55	3.84	4.03	3.02	3.02	3.13	20.71	64.30	22.91	56880.00	          4747	7.13万	61.65	34.98	          6.13	6.31	39.94	0.03	0.110㈢	          2.45	          0.25	          0.77	          2.38	         25.67	   4.56㈢	         44.77	         44.77	         29.73	--  	1115	002945	--  	--  	--  	
002958	青农商行	-0.32	3.09	-0.01	3.08	3.09	636499	6030	0.32	          1.29	3.09	3.13	3.07	3.10	     4.02	19735.79	  0.84	农商行	山东	1.94	3.10	352974	283525	  1.24	0.00	10248	2505	--  	-18.45	          3.62	          0.11	186.33	0.00	   0.00	29097.02	123.29	0.00	0.42	--  	          0.01	--  	1.42	--  	--  	         49.26	        152.22亿	        171.67亿	  0.98	   3210	-2	-3.13	-2.83	-2.53	-0.64	-6.64	29.83	21.18	-0.64	22.62	0	   41.17亿	          1.55	        127.22亿	         -0.56亿	6.32	6.71	0.60	-1.90	KDJ死叉	12	8	3	-0.32	0.97	-0.97	0.00	-1.28	0.65	20241031	20190326	         55.56	--  	--  	4790.10	407.20	          8.97	91.31	0.00	30.76	0.71	0.00	323.96	0.00	0.00	--  	38.23	84.42	51.82	32.60	11.87	32.57	32.03	32.03	30.87	131.65	19.57	40.50	89384.00	         46062	14.23万	5.16	2.58	          0.48	8.77	2.03	3.23	0.550㈢	          6.43	          0.69	          2.37	          0.35	          8.50	   7.87㈢	         38.62	         38.62	         37.94	--  	5500	002958	--  	--  	--  	
002966	苏州银行	-0.50	7.98	-0.04	7.98	7.99	505776	2315	-0.12	          1.37	8.01	8.05	7.94	8.02	     5.39	40363.30	  0.96	城商行	江苏	1.37	7.98	277407	228369	  1.21	0.00	3167	581	--  	35.86	          0.42	          0.01	184.74	0.00	   0.00	51623.45	201.45	-0.11	0.39	--  	          0.01	--  	1.45	--  	--  	         36.84	        293.95亿	        300.43亿	  0.80	   3745	-2	-0.99	0.51	0.51	1.79	3.64	20.55	35.02	0.75	35.95	0	   30.39亿	          1.66	        242.55亿	         -1.51亿	6.02	6.56	0.38	-0.37	KDJ死叉	8	8	12	-0.12	0.37	-1.00	-0.50	-0.87	0.50	20241116	20190802	         37.65	--  	--  	6771.84	482.37	         22.90	92.54	0.00	23.77	6.47	0.00	324.91	0.00	0.00	--  	105.32	92.89	41.04	51.86	17.88	51.82	43.30	41.79	41.46	162.38	242.03	-7.14	54748.00	         55517	44.30万	11.09	1.10	          0.70	1.24	3.23	7.23	1.080㈢	         11.40	          2.80	          4.31	          6.43	          7.12	   8.66㈢	         55.82	         55.82	         46.61	--  	5944	002966	--  	--  	--  	
002984	森麒麟	-0.80	24.68	-0.20	24.68	24.69	78627	533	-0.07	          1.12	24.81	24.97	24.56	24.88	    11.04	19418.47	  0.68	轮胎轮毂	山东	1.65	24.70	38484	40143	  0.96	0.00	246	148	--  	-35.57	          0.55	          0.02	131.54	0.00	   0.00	28303.61	46.64	0.00	0.16	--  	          0.00	--  	0.57	--  	--  	          6.99	        172.58亿	        254.07亿	  0.50	   3456	-4	-2.16	-3.14	-1.40	-3.07	-1.90	4.27	24.08	-3.93	22.78	0	    5.35亿	          1.47	        132.07亿	         -2.06亿	12.19	18.72	0.67	-2.06	MACD死叉	1	10	10	-0.28	0.36	-1.29	-0.72	-1.16	0.49	20241019	20200911	         10.29	--  	--  	167.81	127.99	--  	23.73	80.38	54.81	1.89	18.38	33.27	15.39	11.37	0.56	44.66	63.40	40.93	18.88	0.24	18.90	17.26	17.26	17.18	64.02	15.22	-6.81	30751.00	         17402	42.95万	73.72	10.42	          2.04	16.69	4.01	2.02	2.130㈢	         12.11	          4.34	          6.22	          1.48	         76.27	  13.48㈢	         35.45	         29.78	         27.22	1.40	3008	002984	--  	--  	--  	
003022	联泓新科	-1.90	14.98	-0.29	14.97	14.98	62793	1420	-0.06	          0.47	15.24	15.35	14.91	15.27	    84.14	9430.63	  0.93	光伏辅材	山东	2.88	15.02	37733	25060	  1.51	0.00	298	1422	--  	-77.72	          1.85	          0.08	212.79	0.00	   0.00	16150.55	16.76	0.00	0.10	--  	          0.00	--  	0.48	--  	--  	         13.36	        200.07亿	        200.07亿	 -0.60	   2582	-2	-3.17	-4.65	-3.79	-7.53	-5.37	13.83	-13.00	-4.65	-17.83	2	    3.07亿	          2.05	         45.94亿	         -3.87亿	92.66	45.71	1.09	-3.29	KDJ死叉	1	12	11	-0.20	0.52	-2.36	-1.64	-2.41	0.47	20241026	20201208	         13.36	--  	--  	187.03	71.91	          5.83	58.44	39.84	68.98	16.39	57.08	24.03	6.80	1.03	1.06	27.22	49.67	42.05	2.19	-0.21	1.98	1.74	1.78	1.50	27.02	4.16	-0.71	59713.00	          5136	7.69万	-55.90	0.62	          2.78	48.15	4.03	0.52	0.130㈢	          5.38	          2.04	          2.02	          0.31	         38.45	   2.48㈢	         15.33	          4.40	          3.51	2.58	2447	003022	--  	--  	--  	
003031	中瓷电子	-4.33	53.66	-2.43	53.66	53.67	26389	204	0.15	          1.60	55.95	55.96	53.53	56.09	    49.17	14314.88	  0.94	其他电子	河北	4.33	54.25	14857	11532	  1.29	0.00	171	9	--  	-7.54	          1.00	          0.04	109.47	0.00	   0.00	23825.25	27.98	0.00	0.12	--  	          0.00	--  	2.94	--  	--  	          1.65	         88.65亿	        242.03亿	 -3.03	   2766	-1	2.04	-2.97	-3.52	-4.86	-1.45	52.53	-17.11	-4.84	-14.47	4	    1.38亿	          1.92	         73.92亿	        -10.96亿	49.06	51.63	0.97	-2.63	-- -- 	12	2	3	-0.25	-0.23	-4.56	-3.28	-4.11	0.24	20241213	20210104	          4.51	--  	--  	77.42	58.64	          3.32	19.98	56.10	13.61	1.65	12.72	26.21	6.88	8.06	0.43	31.86	18.86	12.37	4.48	0.30	4.47	4.25	3.69	3.10	18.18	7.31	-8.86	20180.00	          6827	36.63万	7.48	-1.09	          4.13	33.11	12.83	0.50	0.820㈢	         13.00	          7.06	          4.03	          1.62	         75.73	   6.30㈢	         34.44	         23.74	         22.50	2.03	930	003031	--  	--  	--  	
