代码	名称	20日涨幅%	60日涨幅%	一年涨幅%	月初至今%	年初至今%	年涨停天	流通股本Z	换手Z	流通市值Z	市值增减	市盈(TTM)	市盈(静)	贝塔系数	距5日线%	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	回头波%	攻击波%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收账款(亿)	合同负债(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
001696	宗申动力	0.64	130.33	346.44	-0.63	341.54	22	    6.76亿	         15.94	        190.54亿	          4.69亿	83.69	87.81	0.95	2.66	-- -- 	12	12	12	-0.94	2.13	-1.98	0.90	-0.63	3.53	20241031	19970306	         11.45	--  	--  	114.42	49.14	          4.37	53.23	58.83	15.87	3.13	33.51	17.37	10.85	20.90	0.98	5.43	73.05	62.69	4.90	0.28	4.89	4.20	3.91	3.69	26.37	3.67	1.99	125415.00	          5393	15.19万	4.78	27.02	          6.56	87.78	4.42	0.90	0.340㈢	          4.29	          0.47	          2.30	          0.32	         42.95	   7.96㈢	         14.18	          6.71	          5.75	2.20	7035	001696	--  	--  	--  	
001872	招商港口	2.10	1.44	28.78	1.44	32.96	0	    2.25亿	          2.58	         45.97亿	         -3.25亿	12.38	14.41	0.39	-0.87	-- -- 	14	10	12	0.00	0.58	-0.87	-0.29	-1.21	0.25	20241205	19930505	         25.01	          1.80	--  	1999.61	611.08	        674.19	35.72	236.69	293.25	177.65	298.82	155.17	3.12	19.57	1.73	373.44	121.66	67.25	84.09	50.13	83.96	73.08	37.36	33.56	213.31	54.00	-4.85	37076.00	         10915	22.32万	18.63	3.50	          0.84	9.47	4.20	2.82	1.490㈢	         24.44	         14.93	          8.53	          2.16	         30.56	   6.11㈢	         44.73	         69.12	         60.06	1.29	14450	001872	--  	--  	--  	
001896	豫能控股	3.82	36.28	4.76	10.79	5.72	8	    5.82亿	          7.09	         26.89亿	          1.22亿	--  	--  	0.68	1.54	-- -- 	8	2	14	-0.22	2.42	-0.66	1.32	-0.65	2.44	20241031	19980122	         15.26	--  	--  	314.85	31.43	          3.58	88.88	58.89	181.18	17.09	111.32	16.74	8.97	19.23	0.71	65.40	93.89	86.87	-0.35	0.47	-0.23	-0.92	-0.89	-1.20	-51.38	14.76	4.58	72653.00	          8012	3.70万	84.53	6.92	          2.24	4.78	0.75	0.00	-0.060㈢	          2.06	          4.29	         -3.37	          0.97	          9.98	  -2.84㈢	          7.48	         -0.37	         -0.98	0.01	3332	001896	--  	--  	--  	
001914	招商积余	-5.40	28.07	-13.88	-0.18	-7.89	1	    3.98亿	          1.84	         43.21亿	          1.06亿	15.00	15.51	0.75	0.65	空头排列	1	2	11	0.00	2.42	-0.65	1.12	-1.45	1.59	20241203	19940928	         10.60	--  	--  	190.46	102.07	          1.55	45.60	91.76	6.01	0.25	64.48	24.66	11.26	43.55	8.14	30.76	121.60	107.85	8.29	0.12	8.34	6.41	6.20	5.92	55.46	-10.99	-18.75	21675.00	         18356	19.93万	4.19	12.01	          1.13	-10.47	0.95	1.58	0.580㈢	          9.63	          2.90	          5.23	         -1.04	         53.59	   6.07㈢	         11.31	          6.82	          5.27	0.51	43263	001914	--  	--  	--  	
001965	招商公路	7.01	0.82	31.21	3.95	33.77	0	   18.27亿	          1.18	        225.80亿	          4.09亿	12.78	12.40	0.21	-0.48	KDJ死叉	5	4	8	-0.16	0.73	-1.14	-0.16	-0.24	1.64	20241031	20171225	         68.20	--  	--  	1589.74	696.92	        170.71	45.42	127.70	23.51	892.38	149.53	66.03	5.74	19.54	10.12	335.12	90.77	56.31	50.48	35.48	50.90	47.08	41.60	41.32	223.20	51.49	-23.53	35419.00	         51579	63.75万	-4.63	38.04	          1.31	16.37	9.29	4.32	0.590㈢	          9.44	          4.91	          3.27	          0.75	         43.84	   5.97㈢	         37.96	         55.61	         51.87	1.16	6641	001965	--  	--  	--  	
001979	招商蛇口	-3.69	27.59	21.39	-4.58	22.04	2	   33.06亿	          2.52	        371.57亿	          1.81亿	19.74	16.09	0.66	-0.18	-- -- 	1	10	2	-0.53	1.60	-1.43	0.27	-1.40	1.63	20241102	20151230	         90.61	--  	--  	9187.61	1102.97	       1779.27	68.63	6684.53	111.22	18.69	4333.42	858.42	4235.82	58.30	1913.20	206.13	780.09	702.47	49.25	36.96	49.93	34.20	26.01	16.80	632.55	129.71	-21.83	117777.00	         28068	31.55万	-31.00	2.88	          1.04	7.85	1.31	2.85	0.220㈢	         10.79	          2.27	          6.98	          1.43	         12.01	   2.36㈢	          9.95	          6.31	          4.38	0.88	52485	001979	--  	--  	--  	
002001	新 和 成	-6.52	13.17	29.93	-0.42	31.20	0	   14.82亿	          1.13	        321.02亿	          2.78亿	14.52	24.65	0.47	0.88	-- -- 	1	10	12	-0.05	0.65	-0.37	0.23	-0.23	0.79	20241024	20040625	         30.91	--  	--  	415.32	274.59	          1.33	33.56	151.89	221.56	25.05	59.98	68.78	35.72	35.34	2.18	36.13	157.82	95.42	47.76	0.42	47.74	40.09	39.90	38.82	194.97	45.77	23.13	84564.00	         17526	37.96万	89.87	43.31	          2.44	14.63	4.24	2.07	1.290㈢	          8.88	          1.17	          6.31	          1.48	         66.12	  14.53㈢	         39.54	         30.26	         25.40	7.50	11757	002001	--  	--  	--  	
002003	伟星股份	-0.94	4.55	34.44	-8.00	24.02	0	    6.80亿	          1.42	         86.06亿	         -1.75亿	23.04	26.81	0.34	0.00	-- -- 	1	8	12	-0.47	0.23	-1.41	-0.62	-1.40	0.24	20241030	20040625	         11.69	--  	--  	65.84	42.66	          0.44	34.54	30.68	24.58	3.98	20.49	14.80	7.06	5.67	0.71	17.03	35.80	20.51	7.54	0.11	7.56	6.28	6.24	6.09	9.67	7.41	0.63	16201.00	         41993	53.12万	17.15	23.26	          3.47	19.96	4.13	5.08	0.530㈢	          3.65	          1.46	          0.83	          0.63	         64.80	  14.62㈢	         42.70	         21.07	         17.56	1.32	8800	002003	--  	--  	--  	
002004	华邦健康	2.10	20.55	7.03	3.39	9.68	0	   14.27亿	          1.36	         69.52亿	          1.19亿	38.22	31.52	0.63	0.83	KDJ死叉	8	8	11	-0.42	1.87	-0.42	1.25	-0.61	1.67	20241029	20040625	         19.80	--  	--  	310.63	101.09	         63.46	47.03	117.89	75.86	15.44	105.88	36.40	23.64	23.66	1.70	53.37	89.10	56.30	7.84	-0.50	7.68	5.85	4.52	4.36	23.53	8.86	1.22	77103.00	         18513	9.02万	-10.49	0.64	          0.95	10.88	1.08	4.57	0.230㈢	          5.11	          2.70	          1.19	          0.45	         32.54	   4.47㈢	         36.81	          8.80	          6.57	3.02	12580	002004	--  	--  	--  	
002006	精工科技	49.62	97.12	44.32	13.78	40.32	10	    3.19亿	         16.78	         67.65亿	          0.59亿	82.80	52.39	1.02	6.63	多头排列	8	6	11	-2.89	2.84	-3.79	-0.47	-2.17	4.58	20241028	20040625	          4.55	--  	--  	28.96	13.13	--  	54.65	21.18	4.35	1.02	15.45	5.52	5.06	8.45	1.27	2.67	11.81	8.93	0.75	-0.00	0.78	0.73	0.73	0.62	5.48	0.60	-0.33	33111.00	          9624	20.43万	-47.96	5.51	          7.36	159.88	8.18	0.70	0.160㈢	          2.88	          0.59	          1.20	          0.13	         45.35	   5.56㈢	         24.37	          6.39	          6.19	0.79	1343	002006	--  	--  	--  	
002007	华兰生物	-2.55	16.15	-26.82	1.95	-21.26	0	    9.78亿	          0.74	        168.09亿	          1.65亿	23.37	21.11	0.82	1.18	平台整理	10	2	11	-0.29	0.76	-0.47	0.29	-0.23	1.00	20241129	20040625	         18.29	--  	--  	161.02	116.97	         20.14	14.85	92.66	20.40	3.16	22.91	8.43	19.06	23.68	0.10	14.47	34.91	13.34	12.22	1.04	11.99	10.11	9.24	8.17	76.61	4.60	-1.50	153000.00	          6391	10.99万	-13.46	-10.79	          2.69	68.38	9.01	1.75	0.510㈢	          6.40	          0.79	          4.19	          0.25	         72.65	   7.90㈢	         61.77	         35.00	         28.97	2.12	3709	002007	--  	--  	--  	
002008	大族激光	-1.24	45.62	29.54	2.89	32.07	4	    7.93亿	          3.39	        215.02亿	          0.00亿	17.71	34.76	0.89	0.56	-- -- 	10	12	2	0.00	0.48	-0.92	-0.11	-0.48	0.93	20241024	20040625	         10.52	--  	--  	334.09	158.88	         13.50	48.40	226.47	39.40	16.29	124.69	72.99	49.83	81.76	12.98	34.65	101.29	66.54	14.63	10.42	14.72	14.70	14.26	3.75	115.87	0.85	-34.76	186664.00	          4251	11.52万	124.21	7.90	          1.79	334.46	2.82	0.73	1.360㈢	         15.10	          3.29	         11.01	          0.08	         47.56	   8.98㈢	         34.31	         14.44	         14.52	12.71	16970	002008	--  	--  	--  	
002009	天奇股份	10.71	46.48	2.46	8.14	2.26	9	    2.92亿	         14.98	         44.98亿	         -1.17亿	--  	--  	0.99	1.05	多头排列	8	6	11	-2.55	-1.53	-5.67	-3.38	-0.32	4.05	20241025	20040629	          4.02	--  	--  	59.49	21.13	          0.13	64.27	37.08	9.49	2.40	33.04	7.33	7.30	8.94	1.55	9.65	20.87	18.08	-0.48	0.41	-0.48	-0.57	-0.58	-1.10	6.23	-1.56	-0.93	49516.00	          5895	9.08万	83.14	-24.21	          2.93	-39.72	2.97	0.13	-0.140㈢	          5.25	          2.40	          1.55	         -0.39	         35.51	  -2.75㈢	         13.37	         -2.30	         -2.73	0.82	3086	002009	--  	--  	--  	
002010	传化智联	3.15	46.37	14.67	5.86	15.92	1	   11.56亿	          3.24	         60.57亿	          1.12亿	44.48	24.53	0.78	0.77	-- -- 	12	8	11	0.00	2.12	-0.38	0.96	-1.32	1.16	20241029	20040629	         27.88	--  	--  	422.55	173.59	         15.54	55.24	143.64	24.59	11.63	131.94	47.23	22.25	26.00	5.79	65.12	193.70	166.00	6.60	1.47	4.95	3.32	2.37	3.35	75.62	4.28	-3.19	41312.00	         27980	14.66万	-52.75	-24.68	          0.84	34.13	0.75	1.91	0.090㈢	          6.23	          2.34	          2.71	          0.15	         41.08	   1.37㈢	         14.30	          3.40	          1.71	3.80	4961	002010	--  	--  	--  	
002011	盾安环境	-3.00	10.22	-13.77	3.19	-17.60	0	    5.57亿	          2.16	         63.09亿	          1.70亿	14.06	16.13	0.76	1.52	平台整理	4	2	11	-0.18	1.97	-0.36	0.98	-0.53	1.80	20241026	20040705	         10.65	--  	--  	116.49	51.25	          0.07	55.95	92.69	11.34	3.58	57.51	26.87	13.10	21.02	0.68	31.13	93.36	76.38	7.51	0.06	7.50	6.45	6.49	6.29	7.76	5.57	-0.29	42101.00	         13227	14.99万	20.10	10.54	          2.36	21.68	1.29	0.00	0.610㈢	          4.81	          2.92	          0.73	          0.52	         43.99	  12.66㈢	         18.19	          8.05	          6.91	3.52	11870	002011	--  	--  	--  	
002012	凯恩股份	0.35	68.24	7.93	-1.72	2.69	2	    3.64亿	          3.18	         20.82亿	          0.51亿	84445.61	55.27	0.66	1.06	-- -- 	12	8	2	0.18	2.14	-0.18	1.43	-0.17	2.14	20241204	20040705	          4.68	--  	--  	18.45	15.39	          1.69	7.37	11.75	1.08	0.07	1.17	6.34	1.52	1.40	0.01	2.70	4.27	3.50	0.34	0.16	0.34	0.30	0.18	0.11	7.04	0.91	-2.07	25568.00	         14239	8.14万	-72.16	-36.15	          1.74	29.38	6.27	0.55	0.040㈢	          3.29	          0.58	          1.50	          0.19	         83.46	   1.19㈢	         17.95	          7.95	          7.11	0.23	266	002012	--  	--  	--  	
002014	永新股份	1.67	24.04	38.26	-0.19	32.95	0	    2.11亿	          1.67	         21.86亿	          0.98亿	14.90	15.33	0.44	1.77	平台整理	12	2	8	0.00	1.76	-0.29	1.27	-0.19	1.87	20241025	20040708	          6.12	--  	--  	40.05	24.25	          0.46	38.29	26.11	10.63	0.81	13.54	7.83	3.73	6.18	0.10	5.13	25.39	19.56	3.60	0.09	3.61	3.07	3.05	2.88	10.82	4.00	-3.60	20657.00	         10207	10.58万	4.02	2.44	          2.62	15.89	2.50	5.39	0.500㈢	          3.96	          0.84	          1.77	          0.65	         60.56	  12.57㈢	         22.96	         14.17	         12.09	1.13	2280	002014	--  	--  	--  	
002015	协鑫能科	-3.08	20.35	-36.99	0.99	-33.39	2	    8.44亿	          1.73	         68.85亿	          0.49亿	23.50	14.52	1.02	-0.12	空头排列	1	2	11	-0.25	0.98	-0.49	0.37	-0.61	0.87	20241026	20040708	         16.23	--  	--  	412.22	117.35	         21.70	66.27	124.51	179.35	25.44	124.65	49.46	4.04	48.35	1.42	84.86	75.52	55.85	9.39	1.34	9.33	7.05	6.06	4.62	18.88	17.32	13.99	59467.00	         14188	11.58万	-36.43	-15.70	          1.13	7.65	1.75	1.56	0.380㈢	          7.23	          5.23	          1.16	          1.07	         28.47	   5.16㈢	         26.05	         12.44	          9.33	0.19	3688	002015	--  	--  	--  	
002016	世荣兆业	2.66	30.81	28.12	3.18	29.96	9	    1.35亿	          6.49	         10.91亿	          1.05亿	--  	31.86	0.39	0.75	KDJ死叉	10	10	2	-0.38	3.38	-1.25	1.38	-1.70	2.92	20241030	20040708	          8.09	--  	--  	66.56	47.70	          0.74	27.21	43.74	1.55	0.19	14.93	3.52	32.16	4.27	2.42	1.35	7.21	4.44	0.62	0.02	0.62	0.42	0.24	0.23	34.19	-5.77	-5.86	18809.00	          7155	5.80万	-90.20	-41.61	          1.38	-11.37	9.10	0.33	0.030㈢	          5.90	          0.17	          4.23	         -0.71	         71.67	   0.50㈢	         38.46	          8.54	          5.79	0.30	1043	002016	--  	--  	--  	
002017	东信和平	5.05	45.81	6.78	4.95	13.55	0	    3.23亿	         11.59	         37.68亿	          2.61亿	34.78	37.83	0.81	3.01	KDJ死叉	12	12	2	1.61	7.68	0.62	4.02	-3.40	3.37	20241028	20040713	          5.80	--  	--  	29.70	16.80	          0.14	42.98	26.98	1.32	0.02	12.30	18.32	5.86	1.90	4.65	3.75	10.65	7.27	1.40	-0.01	1.40	1.20	1.19	1.09	6.06	1.22	0.18	45996.00	          7032	8.19万	14.49	1.89	          4.02	55.63	6.35	1.34	0.200㈢	          2.89	          0.65	          1.04	          0.21	         56.56	   7.08㈢	         31.75	         13.18	         11.25	1.09	1469	002017	--  	--  	--  	
002019	亿帆医药	-6.29	15.74	-24.62	0.51	-18.87	1	    6.93亿	          0.94	         82.50亿	          0.24亿	--  	--  	0.81	0.51	-- -- 	1	2	3	-0.17	1.18	-0.34	0.42	-1.00	0.51	20241205	20040713	         12.16	--  	--  	123.70	85.13	         -0.94	31.94	39.26	12.91	17.95	29.84	10.18	10.65	13.52	1.10	28.44	38.58	20.20	3.84	-0.07	3.85	3.08	3.66	2.52	44.49	3.53	3.29	40535.00	         17088	20.35万	149.50	31.67	          1.70	40.99	3.75	0.84	0.300㈢	          7.00	          2.34	          3.66	          0.29	         68.82	   4.30㈢	         47.65	          9.94	          7.98	1.82	4230	002019	--  	--  	--  	
002020	京新药业	5.09	21.37	5.59	3.48	7.89	0	    5.44亿	          2.76	         72.94亿	          1.98亿	15.72	18.32	0.66	2.52	平台整理	12	8	14	0.61	2.43	0.08	1.44	-0.67	1.67	20241025	20040715	          8.61	--  	--  	85.83	58.29	          0.31	31.73	29.10	21.85	3.87	23.63	2.44	7.58	7.76	0.36	17.23	32.09	15.69	6.72	0.06	6.76	5.81	5.75	4.94	28.57	6.13	-10.71	28693.00	         18970	25.42万	21.66	9.68	          1.98	18.83	3.60	2.28	0.670㈢	          6.77	          2.00	          3.32	          0.71	         67.92	   9.86㈢	         51.11	         20.94	         18.09	2.69	3909	002020	--  	--  	--  	
002021	中捷资源	30.16	121.43	138.46	25.83	28.20	18	    9.70亿	         19.84	         33.08亿	          1.93亿	6.28	6.59	0.78	8.60	多头排列	8	6	12	-2.77	9.85	-4.62	3.08	-4.48	10.00	20241031	20040715	         12.05	--  	--  	9.22	6.32	          0.04	31.03	6.48	1.97	0.34	2.81	1.01	2.74	2.30	0.08	3.03	6.81	5.65	0.17	0.04	0.19	0.18	0.19	0.13	-9.09	-3.15	-0.63	30297.00	         32019	10.92万	281.63	21.94	          6.51	-13.05	6.04	0.00	0.020㈢	          0.52	          0.25	         -0.75	         -0.26	         68.58	   3.01㈢	         16.98	          2.55	          2.62	0.25	1131	002021	--  	--  	--  	
002022	科华生物	4.51	31.98	-21.01	4.05	-36.90	4	    4.18亿	          1.79	         30.04亿	          0.57亿	--  	--  	0.81	1.27	KDJ死叉	12	6	11	0.57	1.98	0.28	1.27	-0.42	1.27	20241022	20040721	          5.14	--  	--  	59.41	39.25	          8.22	20.10	34.44	8.54	4.14	7.57	8.72	10.47	10.77	0.80	2.62	13.50	8.10	-1.08	0.09	-1.10	-1.07	-1.22	-1.45	29.61	-0.70	-7.39	46546.00	          8989	6.45万	-512.11	-29.09	          0.95	-52.93	2.73	0.00	-0.240㈢	          7.55	          0.51	          5.76	         -0.14	         66.07	  -3.11㈢	         40.04	         -7.96	         -7.92	1.48	2151	002022	--  	--  	--  	
002023	海特高新	-7.24	34.68	20.02	0.55	21.88	4	    5.66亿	          2.56	         62.47亿	          0.96亿	107.06	172.42	0.82	1.10	-- -- 	10	6	6	0.00	1.38	-0.73	0.64	-0.18	1.94	20241028	20040721	          7.41	--  	--  	72.65	42.75	          0.01	41.13	19.23	28.47	2.23	14.46	3.17	5.29	6.70	1.57	17.58	9.11	6.01	0.76	-0.25	0.77	0.49	0.62	0.42	15.64	2.40	-0.77	96689.00	          5857	6.46万	85.85	24.65	          1.91	34.05	8.97	0.46	0.080㈢	          5.77	          2.37	          2.11	          0.32	         58.85	   1.45㈢	         34.10	          8.37	          5.37	0.29	1364	002023	--  	--  	--  	
002025	航天电器	-2.82	19.60	17.74	-1.31	17.86	1	    2.66亿	          0.89	        149.30亿	         -3.29亿	45.84	34.62	0.88	-0.81	KDJ死叉	4	10	11	-0.67	0.40	-2.20	-1.07	-1.66	0.95	20241031	20040726	          4.57	--  	--  	117.97	65.48	         10.65	35.47	98.95	13.48	1.59	36.36	25.73	17.97	48.44	0.86	20.45	39.95	22.23	5.00	0.00	5.01	4.67	4.12	3.78	33.20	-4.77	-8.50	18920.00	         14053	78.91万	-30.84	-23.22	          3.92	-53.80	6.42	0.67	0.900㈢	         14.33	          4.48	          7.27	         -1.04	         55.51	   6.29㈢	         44.36	         12.50	         11.68	5.20	5965	002025	--  	--  	--  	
002026	山东威达	10.78	39.01	10.78	3.19	6.58	2	    2.85亿	          6.59	         30.50亿	         -0.22亿	18.28	28.77	0.83	-2.37	-- -- 	8	6	3	0.09	0.28	-2.33	-1.12	-0.74	1.91	20241209	20040727	          4.46	--  	--  	48.84	35.65	          0.20	26.58	33.36	7.25	1.69	12.34	12.25	5.69	5.49	0.73	14.84	16.15	12.24	2.25	0.23	2.26	2.01	1.99	1.73	14.41	0.99	0.36	37108.00	          7688	8.22万	91.89	-4.32	          1.34	47.92	2.95	1.68	0.450㈢	          8.00	          3.33	          3.23	          0.22	         73.00	   5.59㈢	         24.21	         13.92	         12.46	0.83	3203	002026	--  	--  	--  	
002027	分众传媒	-5.28	29.45	23.94	1.30	18.67	0	   97.33亿	          1.25	        680.35亿	         -8.67亿	19.61	21.09	0.72	-0.29	-- -- 	10	8	3	-0.28	0.85	-1.70	-0.57	-1.69	0.87	20241029	20040804	        144.42	--  	--  	225.95	157.93	          3.19	28.69	106.22	6.65	0.90	53.09	38.60	0.18	25.72	5.10	7.51	92.61	31.29	46.18	5.87	46.19	39.04	39.68	35.41	151.66	46.48	3.66	208038.00	         46786	32.70万	10.16	6.76	          6.39	21.72	10.90	6.10	0.270㈢	          1.09	          0.05	          1.05	          0.32	         69.90	  25.12㈢	         66.22	         49.87	         42.15	0.41	5309	002027	--  	--  	--  	
002028	思源电气	-7.14	11.24	51.26	-6.28	41.36	0	    5.46亿	          2.16	        398.35亿	        -19.90亿	30.76	37.52	0.31	-2.60	空头排列	10	2	8	-0.36	0.37	-3.52	-2.17	-3.76	0.12	20241026	20040805	          7.74	--  	--  	216.34	117.67	          2.72	44.35	171.88	20.30	5.74	94.09	26.65	36.58	56.03	22.36	3.52	104.07	71.37	17.45	0.36	17.43	15.19	14.91	14.05	103.18	7.80	-7.62	21877.00	         24943	182.08万	29.88	21.28	          4.80	72.46	5.43	0.53	1.920㈢	         15.20	          0.45	         13.33	          1.01	         54.39	  12.67㈢	         31.42	         16.76	         14.60	7.35	7832	002028	--  	--  	--  	
002029	七 匹 狼	16.61	44.31	24.01	1.12	28.87	2	    3.93亿	          5.63	         28.42亿	          0.63亿	16.56	18.64	0.73	0.70	阶段放量	8	6	6	0.28	2.10	-0.56	1.26	-0.82	1.83	20241025	20040806	          7.05	--  	--  	102.90	65.19	          1.22	35.46	57.29	3.34	3.51	34.24	8.98	9.15	4.40	2.57	16.43	21.94	10.55	2.91	0.46	2.91	2.67	2.36	0.20	33.57	-0.99	-2.91	27100.00	         14506	10.49万	16.76	-7.73	          0.78	-51.41	2.32	1.68	0.330㈢	          9.25	          2.33	          4.76	         -0.14	         63.35	   3.61㈢	         51.93	         13.27	         12.18	0.45	2418	002029	--  	--  	--  	
002030	达安基因	1.54	23.26	-34.37	1.54	-31.99	4	    9.60亿	          2.12	         63.04亿	          0.42亿	--  	87.70	0.91	0.92	-- -- 	10	8	11	0.31	1.38	-0.15	0.61	-0.90	0.61	20241203	20040809	         14.03	--  	--  	99.84	83.24	          2.78	13.84	50.39	10.08	3.77	12.30	7.73	2.38	14.62	0.37	6.19	5.91	3.55	-5.67	-1.30	-5.68	-5.02	-5.03	-4.33	50.34	1.32	-2.23	145000.00	          6617	4.35万	-242.58	-29.83	          1.11	69.63	15.60	0.23	-0.360㈢	          5.93	          0.44	          3.59	          0.09	         83.37	  -6.04㈢	         39.98	        -95.89	        -84.85	1.67	1968	002030	--  	--  	--  	
002031	巨轮智能	69.35	230.57	103.49	61.76	82.85	15	   17.69亿	         66.08	        133.91亿	          7.48亿	--  	--  	1.10	6.47	多头排列	8	8	2	0.00	9.96	-5.95	4.70	-4.78	11.32	20241031	20040816	         21.99	--  	--  	43.60	24.32	          0.03	44.15	16.82	14.39	2.44	14.43	1.71	4.01	5.17	2.25	0.40	8.88	7.28	-0.01	-0.12	-0.01	0.03	0.06	-0.02	0.69	-2.23	-2.21	183511.00	          9640	7.30万	145.20	64.89	          6.84	-74.76	18.75	0.00	0.003㈢	          1.11	          0.02	          0.03	         -0.10	         55.79	   0.24㈢	         17.99	         -0.06	          0.33	0.26	1842	002031	--  	--  	--  	
002032	苏 泊 尔	1.85	8.37	6.55	3.23	7.34	0	    1.33亿	          2.22	         71.87亿	          1.68亿	19.15	19.77	0.32	0.19	平台整理	14	14	10	-0.22	0.93	-0.26	0.41	-0.53	0.65	20241118	20040817	          8.02	--  	--  	119.81	56.11	          0.36	52.87	93.85	12.65	4.12	61.07	25.56	21.30	32.45	3.20	1.87	165.12	124.72	17.84	0.22	17.82	14.32	14.33	14.05	46.00	11.60	8.25	13634.00	          9767	52.71万	5.19	7.45	          7.71	37.29	2.62	5.05	1.800㈢	          7.00	          0.23	          5.74	          1.45	         46.83	  25.54㈢	         24.47	         10.80	          8.67	3.27	10753	002032	--  	--  	--  	
002033	丽江股份	2.44	8.45	20.31	4.28	19.38	2	    3.02亿	          5.66	         27.92亿	          0.66亿	24.11	22.04	0.60	1.87	平台整理	14	7	14	-0.22	1.32	-0.33	0.77	0.00	1.65	20241025	20040825	          5.49	--  	--  	30.14	25.09	          1.36	12.26	8.16	14.22	2.62	3.55	7.39	0.15	0.16	0.10	5.62	6.36	2.49	2.63	0.12	2.61	2.17	1.92	1.92	11.28	2.77	1.17	48603.00	          6218	5.75万	-9.22	-0.96	          2.02	18.33	7.99	3.84	0.350㈢	          4.57	          1.02	          2.05	          0.50	         83.24	   7.66㈢	         60.76	         41.37	         34.16	--  	1593	002033	--  	--  	--  	
002034	旺能环境	2.84	20.02	10.50	1.47	7.72	0	    1.97亿	          1.27	         31.23亿	          0.30亿	11.24	11.18	0.63	0.44	KDJ死叉	10	8	11	-0.63	1.20	-0.76	0.63	-0.75	1.21	20241128	20040826	          4.26	--  	--  	149.27	68.34	          0.81	53.68	24.41	56.61	59.92	23.67	6.94	0.88	12.17	0.39	28.60	24.29	14.82	5.94	0.11	5.86	4.98	5.12	5.23	31.54	11.15	2.50	16137.00	         12181	19.36万	-0.67	1.19	          1.02	6.07	2.79	3.18	1.190㈢	         15.55	          6.71	          7.40	          2.62	         45.78	   7.50㈢	         39.01	         24.46	         20.51	0.87	2577	002034	--  	--  	--  	
002035	华帝股份	-1.45	33.11	38.54	0.00	38.07	3	    6.25亿	          2.72	         51.03亿	          1.44亿	13.78	15.15	0.67	3.16	-- -- 	10	12	12	-0.38	3.25	-0.50	2.00	-1.09	2.64	20241203	20040901	          8.48	--  	--  	69.94	36.99	          0.44	46.49	47.65	12.85	3.15	31.97	13.36	7.63	7.45	3.03	0.23	45.76	27.23	4.45	0.24	4.52	4.02	4.04	3.87	26.18	3.72	-1.93	33803.00	         18499	15.10万	12.28	3.27	          1.87	18.58	1.51	3.68	0.480㈢	          4.36	          0.03	          3.09	          0.44	         52.88	  10.92㈢	         40.50	          9.74	          8.79	1.96	5462	002035	--  	--  	--  	
002036	联创电子	-1.09	33.66	7.05	12.93	6.95	9	    9.62亿	          5.16	        105.04亿	          1.92亿	--  	--  	1.02	1.87	-- -- 	10	8	2	-0.37	1.96	-0.74	1.02	-0.27	2.44	20241204	20040903	         10.69	--  	--  	164.14	27.34	          6.72	79.25	73.22	37.06	14.24	87.45	15.59	21.32	26.71	0.44	13.24	77.43	70.06	-0.86	0.08	-0.86	-0.89	-0.46	-0.96	3.65	0.04	-6.39	123673.00	          7778	8.49万	85.94	9.22	          4.34	3332.24	1.51	0.00	-0.040㈢	          2.51	          1.24	          0.34	          0.00	         16.66	  -1.69㈢	          9.53	         -1.11	         -1.15	3.39	10375	002036	--  	--  	--  	
002037	保利联合	1.43	35.88	12.69	5.12	7.32	10	    2.69亿	          3.98	         24.82亿	          0.44亿	--  	--  	0.80	0.87	MACD金叉	10	8	2	-0.66	1.09	-0.87	0.11	-0.11	1.87	20241031	20040908	          4.84	--  	--  	168.90	19.18	          9.52	83.01	96.44	16.60	16.99	109.55	13.71	3.95	52.63	1.23	13.51	42.18	33.93	-0.55	0.04	-0.52	-0.80	-0.58	-0.76	-1.81	-1.76	-0.02	34693.00	          7742	7.15万	-177.59	-15.43	          2.33	-25.44	1.06	0.00	-0.120㈢	          3.96	          2.79	         -0.37	         -0.36	         11.36	  -3.03㈢	         19.55	         -1.29	         -1.90	1.07	7687	002037	--  	--  	--  	
