代码	名称	20日涨幅%	60日涨幅%	一年涨幅%	月初至今%	年初至今%	年涨停天	流通股本Z	换手Z	流通市值Z	市值增减	市盈(TTM)	市盈(静)	贝塔系数	距5日线%	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	回头波%	攻击波%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收账款(亿)	合同负债(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
601089	福元医药	-3.28	8.14	-4.54	0.24	-3.16	0	    1.28亿	          1.76	         20.67亿	          0.38亿	15.18	15.84	0.86	0.75	KDJ死叉	1	10	14	0.31	0.68	-0.12	0.43	-0.18	0.62	20241025	20220630	          4.80	--  	--  	45.37	34.57	          0.11	23.55	31.19	6.70	1.41	10.18	9.74	3.44	3.48	0.54	16.62	25.47	8.38	4.35	0.04	4.33	4.04	4.01	3.80	13.25	4.90	-15.31	24107.00	          5291	8.58万	5.59	3.42	          2.25	15.88	3.05	3.04	0.850㈢	          7.20	          3.46	          2.76	          1.02	         76.20	  11.60㈢	         67.09	         17.09	         15.86	2.98	3436	601089	--  	--  	--  	
601096	宏盛华源	-4.52	13.69	178.44	4.02	-16.51	8	    6.69亿	          3.18	         31.10亿	          1.61亿	57.50	98.99	0.95	1.09	-- -- 	1	2		0.00	1.31	-0.44	0.65	0.00	1.75	20241029	20231222	         26.75	--  	--  	95.34	43.48	--  	54.40	83.09	7.64	2.94	51.62	13.98	24.68	27.41	4.40	10.79	75.78	68.87	2.23	-0.03	2.31	1.79	1.79	1.43	5.65	4.18	-1.39	125555.00	          5327	2.48万	100.58	15.17	          2.86	29.73	1.64	0.55	0.070㈢	          1.63	          0.40	          0.21	          0.16	         45.60	   4.11㈢	          9.11	          2.94	          2.36	1.18	1564	601096	--  	--  	--  	
601098	中南传媒	7.45	2.78	29.61	7.96	43.91	0	    6.34亿	          5.55	         86.87亿	          2.69亿	15.44	13.12	0.70	1.33	-- -- 	11	6	12	-0.59	5.46	-0.59	2.21	-4.13	1.71	20241030	20101028	         17.96	--  	--  	265.64	151.67	          7.51	40.07	215.83	12.15	9.39	97.51	131.25	17.78	18.01	27.78	44.13	93.66	52.33	14.05	0.23	13.92	10.34	9.57	9.24	72.87	20.75	16.19	24282.00	         26115	35.78万	-22.56	1.72	          1.62	11.86	2.63	4.80	0.530㈢	          8.44	          2.46	          4.06	          1.16	         57.10	   6.31㈢	         44.12	         15.00	         11.04	0.61	13310	601098	--  	--  	--  	
601099	太平洋	-2.06	49.84	29.43	3.03	28.38	7	   60.72亿	          4.56	        288.43亿	         -2.73亿	240.37	130.32	1.59	-1.25	-- -- 	1	12	8	-0.42	0.42	-1.25	-0.42	-1.25	0.42	20241030	20071228	         68.16	--  	--  	170.75	96.14	         -0.01	43.70	0.00	2.38	0.49	0.00	69.10	0.00	0.00	0.00	27.98	8.65	6.77	1.88	1.44	1.89	1.36	1.36	1.26	-10.36	13.54	13.16	380594.00	         15955	7.58万	-45.71	-16.45	          3.37	23.91	37.44	0.00	0.020㈢	          1.41	          0.41	         -0.15	          0.20	         56.30	   1.42㈢	         21.73	         21.73	         15.76	--  	1704	601099	--  	--  	--  	
601100	恒立液压	-3.08	13.36	9.86	7.81	5.96	0	    4.46亿	          4.07	        255.11亿	        -22.79亿	31.13	31.61	1.26	1.53	-- -- 	14	1	11	-0.02	4.16	-3.23	-0.08	-6.76	0.35	20241029	20111028	         13.41	--  	--  	193.18	150.68	          0.53	21.73	137.42	32.95	4.46	38.13	73.88	17.22	14.78	4.13	33.65	69.36	40.60	20.12	0.01	20.24	17.94	17.91	17.35	97.33	13.20	-19.14	34861.00	         12793	73.18万	2.16	9.32	          5.09	58.12	11.06	1.19	1.340㈢	         11.24	          2.51	          7.26	          0.98	         78.00	  11.89㈢	         41.46	         29.00	         25.87	5.35	6514	601100	--  	--  	--  	
601101	昊华能源	1.01	13.38	46.73	6.02	50.42	3	    5.28亿	          2.69	         47.45亿	          1.44亿	11.13	12.30	1.07	-0.22	-- -- 	4	14	10	-0.45	1.91	-0.56	1.01	-0.77	1.70	20241029	20100331	         14.40	--  	--  	295.08	120.53	         30.66	48.76	58.46	119.34	87.78	55.32	51.46	2.95	0.48	8.86	30.83	68.44	35.58	19.96	-0.00	19.93	16.40	11.19	11.03	57.43	34.74	-1.58	31605.00	         16718	15.01万	10.74	11.82	          1.07	3.72	1.89	3.94	0.780㈢	          8.37	          2.14	          3.99	          2.41	         40.85	   9.29㈢	         48.01	         29.17	         23.96	0.06	6000	601101	--  	--  	--  	
601106	中国一重	-2.36	47.98	14.58	5.77	14.58	2	   24.77亿	          1.87	         81.75亿	          4.11亿	--  	--  	1.01	1.23	-- -- 	10	6	2	0.00	2.16	-0.62	1.54	-0.30	2.48	20241031	20100209	         68.58	--  	--  	417.78	88.33	          1.09	78.60	276.91	63.38	18.81	234.11	27.67	85.61	48.29	11.19	96.18	136.03	126.49	-1.67	0.24	-1.54	-2.08	-1.83	-2.73	-81.09	-2.47	4.97	243155.00	         10188	3.36万	-455.74	-8.93	          2.56	-91.52	1.66	0.00	-0.030㈢	          1.29	          1.40	         -1.18	         -0.04	         21.14	  -2.07㈢	          7.01	         -1.23	         -1.53	2.25	8401	601106	--  	--  	--  	
601107	四川成渝	-0.94	13.17	26.87	-0.19	26.26	3	    4.62亿	          2.86	         24.23亿	          0.61亿	13.41	13.45	0.74	0.00	KDJ死叉	1	14	8	-0.19	0.77	-0.38	0.38	-0.38	0.77	20241031	20090727	         30.58	--  	          8.95	603.23	160.75	         10.36	71.63	39.53	8.09	511.78	68.44	27.13	1.97	1.30	0.98	24.35	73.59	48.67	14.48	0.38	14.54	11.77	11.23	10.90	49.29	27.10	7.31	38997.00	         11856	6.21万	0.31	-7.92	          1.00	5.91	2.18	4.60	0.370㈢	          5.26	          0.80	          1.61	          0.89	         26.65	   6.98㈢	         33.86	         19.68	         16.00	--  	4668	601107	--  	--  	--  	
601108	财通证券	-4.36	32.97	8.92	1.66	11.62	2	   31.39亿	          1.27	        268.38亿	          0.00亿	17.86	17.63	1.45	0.12	MACD金叉	1	10	14	-0.35	0.70	-0.47	0.00	-0.70	0.47	20241030	20171024	         46.44	--  	--  	1417.57	356.77	          0.22	74.82	0.00	14.58	3.31	0.00	301.04	0.00	0.00	0.49	147.77	44.41	27.13	17.28	0.25	17.25	14.71	14.72	13.89	96.08	181.25	128.79	130460.00	         24061	20.57万	-1.93	-10.36	          1.13	2.19	8.94	1.75	0.320㈢	          7.58	          3.18	          2.07	          3.90	         25.17	   4.13㈢	         38.91	         38.91	         33.13	--  	4399	601108	--  	--  	--  	
601111	中国国航	19.25	32.04	11.87	7.01	20.71	0	   37.39亿	          2.68	        331.26亿	         -4.98亿	--  	--  	0.71	3.14	-- -- 	8	6	9	0.34	0.56	-1.91	-0.34	-0.89	1.61	20241031	20060818	        165.94	--  	         49.56	3445.51	405.43	        -25.61	88.98	403.48	1067.41	57.79	1505.14	218.53	50.03	38.40	12.64	410.11	1281.50	1197.46	8.30	21.13	10.79	7.69	13.62	4.33	-291.21	307.42	52.19	160825.00	         23248	20.60万	72.06	21.50	          3.63	4.78	1.15	0.00	0.090㈢	          2.44	          2.47	         -1.75	          1.85	         11.77	   3.36㈢	          6.56	          0.65	          0.60	2.93	103159	601111	--  	--  	--  	
